,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,genre,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,CC,WP,JJR,NNPS,JJS,$,FW,PDT,WDT,WP$,RBS,POS,EX
898,4,,9,,,11,29,5,5,5,,,1,,95,8,,3,41,7,6,,1,1,,,,,,,,1,,,,
899,6,14,9,,,37,30,21,5,7,,,,,22,,,5,28,6,61,,6,5,,,,,,,,,,,,
900,6,16,8,,,24,38,25,5,8,,,,,41,,,4,43,8,36,,6,4,,,,,,,,,,,,
901,1,7,,,1,9,33,6,5,6,,,,,75,,,2,38,13,4,,2,,,,,1,,,,,,,,
902,1,1,5,,2,10,19,2,5,2,2,,,,45,,,5,24,6,6,,,2,,2,,,,1,,,,,,
903,14,,3,,1,23,31,9,5,31,1,,,,43,,,6,31,42,20,,,6,,,,,,,,,,,,1
904,10,2,2,,,11,21,1,5,8,,,,,55,,,3,46,5,10,,1,4,,,,3,,,,,,,,
905,5,2,7,,,11,12,4,5,,,4,2,,18,1,,22,22,4,10,2,,2,,,,,,,,,,,,
906,1,1,14,1,1,4,46,4,5,,,,,,90,,,,40,1,5,,2,,,,,,,,,,,,,
907,5,2,8,,1,8,26,7,5,,,,3,,32,,,5,9,18,10,1,7,3,1,,,,,,,,,,,
908,1,,,,,12,17,1,5,2,,,,,73,,,11,51,20,10,14,8,7,,,5,2,,,,,,,,
909,14,6,13,,3,6,21,6,5,6,,3,1,,41,1,3,22,57,10,1,,2,3,,,,,,,,,,,,
910,4,,9,,,11,29,5,5,5,,,1,,95,8,,3,41,7,6,,1,1,,,,,,,,1,,,,
911,26,3,34,,,9,57,4,5,1,2,1,2,,118,2,2,1,84,3,10,,12,2,,,,,,,,,,,,
912,,,8,,3,23,25,3,5,7,,,,,54,,,25,18,14,27,,,7,,,,1,,,,,,,1,
913,39,2,6,,,33,37,9,5,7,1,2,1,,110,,,11,54,5,15,,1,4,,,,,,,,,,,,
914,6,14,9,,,37,30,21,5,7,,,,,22,,,5,28,6,61,,6,5,,,,,,,,,,,,
915,14,,3,,1,23,31,9,5,31,1,,,,43,,,6,31,42,20,,,6,,,,,,,,,,,,1
916,20,2,2,,2,6,10,1,5,1,3,7,1,,29,1,,13,28,4,,,2,,,,,,,,,,,,,
917,1,3,3,,4,2,14,2,5,,5,5,,,23,,,17,33,2,3,,1,,,1,,,,,,,,,,
918,4,6,1,,4,4,23,6,5,8,2,6,,,38,,,9,20,11,4,1,1,1,,,,,,,,,,,,
919,,14,5,,3,13,25,4,5,1,1,7,,,57,,,2,27,4,12,,2,,,,,,,,,,,,,
920,1,14,10,,2,8,16,4,5,3,,8,,,23,,,6,21,18,7,2,,4,,,,,,,,,,,,
921,10,2,4,,1,12,10,5,5,,,8,8,,13,,,5,18,4,24,1,,2,,,,,,,,,,,,
922,2,3,11,,1,10,18,3,5,2,1,10,,,24,,,18,11,10,16,1,,3,,1,,1,,,,,,,,
923,6,7,2,,3,4,12,3,5,2,2,7,,,24,1,,3,36,6,,,1,2,,1,,,,,,,,,,
924,8,1,4,,,9,10,4,5,4,2,6,,,33,,,10,54,3,8,,2,,,1,,,,,,,,,,
925,21,7,1,,7,4,12,7,5,4,,4,3,,29,1,,2,25,5,12,,,6,,,2,,,,,1,,,,
926,15,2,1,,4,32,8,14,5,3,5,,2,,33,5,,1,12,15,18,,,,4,,,,,,,,,,,
927,,,5,,,,33,,5,1,,,,,27,,,,,,,,,,,,,,,,,,,,,
928,9,12,1,,,14,15,12,5,,3,5,2,,21,2,,7,17,8,19,,2,,,,,,,,,,,,,1
929,20,,11,,11,10,10,1,5,,,,,,20,,,,17,,10,,,,,,,,,,,,,,,
930,6,,2,,1,23,2,11,5,2,6,6,,,47,,2,12,40,4,21,3,,2,,8,,,,,,,,,,
931,5,,14,,,9,9,11,5,,6,2,2,,34,3,,2,72,2,11,3,2,6,,,,,,,,,,,,
932,17,,12,,2,37,48,18,5,6,18,7,,4,94,1,,14,76,13,18,,4,1,1,,,,,1,1,,,,,
933,31,1,14,,1,62,52,26,5,1,3,9,1,10,67,3,,24,71,12,83,,5,2,,2,,1,,2,,,,,,
934,4,,1,,,12,16,4,5,6,,1,,1,30,,,16,33,7,8,,,6,,,,,,1,,,,,,
935,2,,4,,2,30,12,,5,18,,,,,21,,,10,9,11,24,,,4,,,,,,,,,,,,
936,8,21,7,,,8,,4,5,4,,,3,9,28,4,,8,22,4,8,,30,2,,,,,,,,,,,,
