,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,genre,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,CC,WP,JJR,NNPS,JJS,$,FW,PDT,WDT,WP$,RBS,POS,EX
26,1,,,,1,,,4,0,,3,2,1,,1,1,,,20,,1,,,,,,,,,,,,,,,
27,6,6,7,,4,15,42,8,0,3,1,28,1,,62,1,,9,110,10,21,,3,3,,,,,,1,,,,,,
28,3,2,11,,1,57,31,7,0,4,4,2,,,78,1,,10,57,11,50,1,2,1,,,,,,2,,,,,,
29,3,2,14,,3,13,57,8,0,4,9,19,,,135,2,,4,71,14,39,,,2,,1,,,,,,,,,,
30,6,2,6,1,4,24,36,15,0,1,3,4,1,,37,1,,7,58,18,23,,2,,1,,,,,1,,,,,,
31,2,15,1,,1,40,30,5,0,2,1,7,,1,123,2,,2,89,6,38,,5,1,,,,,,,,,,,,
32,6,,8,,1,24,16,11,0,15,4,12,2,,124,1,,11,133,6,19,,,21,,1,,,,1,,,,,,
33,,,,,,2,1,4,0,,1,2,,,,1,,,20,1,2,,,,,,,,,,,,,,,
34,,,,,,,1,4,0,,1,4,,,1,1,,1,23,1,1,,1,,,,,,,,,,,,,
35,11,,15,,2,23,48,22,0,1,2,6,,,47,1,,5,56,20,19,,,1,,,,,,,,,,,,
36,,,,,,,1,3,0,,2,2,,,,1,,,25,,,,,,,,,,,,,,,,,
37,,,,,,,1,3,0,,2,2,,,,1,,,25,,,,,,,,,,,,,,,,,
38,9,,14,,3,22,39,7,0,3,8,16,2,1,135,1,1,5,85,22,10,,4,,,,,,,,,1,,,,
39,13,20,9,,2,26,46,21,0,1,2,6,1,,86,1,,4,77,11,17,1,1,3,2,,,,,1,,,1,,,
40,5,7,10,,4,42,76,12,0,,5,7,1,,86,1,,7,68,9,46,2,,,1,,5,,,,,,,,,
41,,,,,,,1,3,0,,1,2,,,,1,,,23,1,1,,,,,,,,,,,1,,,,
42,10,10,14,,2,17,25,10,0,2,1,13,,1,73,3,,13,60,7,13,1,,5,,,,,1,,,1,,,,
43,,,,,,,1,4,0,,1,4,,,1,1,,1,23,1,1,,1,,,,,,,,,,,,,
44,7,1,46,,2,12,14,6,0,2,9,103,,4,61,1,,5,104,6,11,,1,,,,,,,,,,,,,
45,20,,16,,2,22,22,15,0,4,4,19,2,1,63,1,,13,64,18,23,6,3,5,1,,,,,,,,,,,
46,,,,,,1,1,5,0,,1,3,,,,1,,,25,,1,,,,,,,,,,,,,,,
47,4,14,17,,1,20,9,8,0,2,8,10,1,1,120,1,,2,96,46,10,,,9,,,,,1,,,,,,,
48,8,10,16,,3,12,45,15,0,2,2,12,,2,70,1,,16,70,12,10,,,1,,,,,,,,,,,,
49,5,3,20,,5,33,31,8,0,4,4,5,,32,128,1,,11,88,17,17,2,1,4,,,,,,,,,,,,
50,1,,5,,,34,36,5,0,2,4,4,,1,24,1,,22,87,6,10,,1,,,1,,,,,,,,,,
51,,,,,,,1,3,0,,2,2,,,,1,,,25,,,,,,,,,,,,,,,,,
52,3,1,23,,33,27,20,11,0,2,4,3,,,37,2,,23,77,10,25,,1,1,2,,,,,,1,,,,,
53,,,,,,1,1,5,0,,1,3,,,,1,,,25,,1,,,,,,,,,,,,,,,
54,8,12,17,,10,29,36,11,0,2,1,17,2,4,77,2,,11,139,15,31,,1,,,2,,1,,,,1,,,,
55,1,1,4,,,4,8,6,0,3,1,3,,,10,1,1,1,32,2,6,,,,,,,,,,,,,,,
56,,,,,,,1,4,0,,1,3,,,,1,,1,21,1,,,,,,,,1,,,,,,,,
57,12,17,14,,3,17,18,20,0,3,5,30,,,75,7,,7,75,8,21,1,,1,1,,,,1,1,,,,,,
58,,,,,1,,,3,0,,2,2,,,,1,,,24,,,,,,,,,,,,,,,,,
59,2,4,6,,,16,33,5,0,2,3,6,,,35,4,,5,60,18,5,2,,2,,,,,,,,,,,,
60,,,,,1,,,3,0,,2,3,,,,1,,,24,,,,,,,,,,,,,,,,,
61,10,4,28,,,48,60,12,0,10,5,22,1,2,185,2,,11,134,45,31,1,5,,1,,,,,,,,,,,
62,4,16,40,,3,23,71,12,0,5,2,37,,1,109,1,,18,97,44,27,1,,1,1,,,,,1,,,,,,
63,,,,,,,1,3,0,,1,3,,,,1,,,24,1,,,,,1,,,,,,,,,,,
64,,,,,1,,,3,0,,2,2,,,,1,,,24,,,,,,,,,,,,,,,,,
65,37,,25,,19,48,66,30,0,3,2,16,,6,237,10,1,38,99,9,18,,2,5,2,,,,,,,,,,,
66,16,1,25,,3,19,41,12,0,4,7,10,1,1,75,4,,12,104,18,18,,1,7,2,1,,,,,,,,,,
67,16,2,8,,2,35,38,34,0,4,7,21,2,2,86,2,,16,153,33,20,,3,25,2,3,,,1,9,,1,,,,
68,21,,13,,24,33,37,7,0,7,2,14,,,84,3,,31,144,12,6,,,7,1,,,1,,,,,,,,
69,18,,12,,7,34,41,17,0,4,5,18,3,1,143,3,,10,111,13,23,,8,11,,2,,,,1,,,,,,
70,16,,15,,3,45,30,10,0,4,5,10,,3,95,2,,25,114,19,34,,2,8,2,,,1,,,,,,,,
71,25,10,16,,2,23,49,15,0,4,7,19,1,2,106,3,,21,143,11,23,1,6,15,1,,,,,,,1,,,,
72,10,3,7,,2,38,58,28,0,26,7,9,,2,113,3,,13,151,9,19,,3,10,1,1,,,,2,,,,,,
73,10,1,7,,1,15,10,11,0,3,8,7,2,2,35,3,,8,109,4,20,1,,1,1,,2,,,,,,,,,
74,8,1,11,,3,18,33,8,0,3,3,7,,3,50,2,,17,75,9,14,1,,3,,,,,,,,1,,,,
75,47,,6,4,5,19,84,14,0,4,5,11,,1,233,36,,14,52,8,11,3,2,2,,,,,,,,,,1,,
76,21,,13,,24,33,37,7,0,7,3,14,,,84,3,,31,144,11,6,,,7,,,,1,,,,,,,,
77,28,20,25,2,4,33,54,19,0,8,2,16,10,,150,4,,28,67,33,31,,3,3,1,2,,1,,1,,,,,,
78,47,,7,4,4,18,83,14,0,4,3,12,,1,234,36,,16,51,9,12,3,3,2,,,,,,,,1,,1,,
79,6,11,21,1,4,25,39,9,0,,5,7,,,70,2,,3,59,13,14,,,1,1,,,,,,,,,,,
80,26,6,6,1,3,30,32,12,0,6,4,8,4,3,78,6,,26,91,10,29,1,1,11,3,3,,,,1,,,,,,
81,24,1,34,,7,60,63,25,0,9,11,15,6,5,130,5,1,27,113,42,59,1,9,31,,3,,3,,3,,1,,1,,
82,2,2,9,,,6,10,8,0,3,4,7,,1,22,2,,2,97,5,8,,1,2,4,,,,,,,,,,,
83,7,,3,,2,18,18,13,0,4,4,14,,,33,2,,9,64,14,7,,1,4,1,1,,,,,,,,,,
84,12,,18,,4,22,39,13,0,12,4,11,,,93,3,,23,93,34,11,,2,9,,,,,,2,,,,,1,
85,10,1,16,1,8,20,22,14,0,3,3,11,,2,71,3,1,13,91,14,17,,5,13,,1,,1,,1,,1,,,,
86,15,,8,,1,27,33,17,0,5,8,16,,,72,2,,16,104,9,22,,7,6,,,,,,,,,,,,
87,13,10,19,,6,26,44,17,1,2,3,1,5,3,35,1,,23,32,19,26,1,1,14,1,,,1,,,,,,,,
88,3,2,24,,1,23,25,9,1,1,,2,,2,53,1,,13,58,4,21,,15,12,1,,,,,,,,,,,
89,9,2,3,,4,24,10,3,1,2,5,4,2,,11,1,,14,35,4,25,1,,10,2,,,,,,,,,,,
90,18,7,31,,12,11,37,28,1,6,3,7,,,22,20,,12,53,26,12,,3,6,1,1,,,,,,,,,,
91,10,9,5,,2,13,20,5,1,3,,2,2,,31,2,,9,47,15,13,,,10,1,,,,,,,1,,,,
92,15,7,15,,1,15,11,9,1,4,1,10,,1,17,2,,8,51,5,26,1,1,2,1,1,,,,,,1,,,,
93,14,4,10,,4,13,17,8,1,8,8,6,1,1,52,6,,19,46,2,17,,4,10,1,,,,,,,,,,,
94,40,4,18,,2,15,16,12,1,9,5,,1,2,60,3,1,6,36,7,46,1,2,12,1,4,,,,,,,,,,1
95,15,1,18,,5,14,58,4,1,3,1,1,1,4,33,1,,10,43,44,11,,,3,1,,,1,,,,,,,,
96,6,14,11,,6,27,25,14,1,7,4,1,1,1,40,2,,20,34,21,25,,,10,1,1,,,,,,1,,,,
97,1,6,28,,,16,8,22,1,,,1,,1,40,3,,4,42,8,18,,,1,1,,,2,,,,,,,,
98,2,1,5,,1,5,3,5,1,1,,2,,2,9,1,,2,24,4,8,1,1,1,1,,,,,,,1,,,,
99,51,1,7,,2,27,15,16,1,4,1,,5,1,35,1,,18,36,7,16,1,,7,1,,,,,,,,,,,1
100,12,15,7,,2,22,22,4,1,2,,1,,,47,4,,21,35,6,20,,,8,1,,,,,1,,,,,,
101,31,5,4,,,27,32,5,1,3,1,1,4,,26,3,8,6,62,16,25,,1,4,1,,,3,,,,,,,,
102,6,8,5,,2,10,22,9,1,5,7,1,4,,60,1,,25,39,16,4,4,3,1,1,,,,,,,,,,,1
103,10,,6,,4,39,28,16,1,,3,3,1,,34,1,,8,34,14,31,4,2,1,1,,,1,,,,,,,,
104,3,14,12,,2,10,19,8,1,2,1,3,,2,49,1,,12,37,3,14,3,1,8,2,,,,,,,,,,,
105,13,9,2,,,25,17,9,1,3,4,,,1,39,6,,19,42,6,21,,1,1,1,,,,,,,,,,,
106,7,25,17,,1,18,30,8,1,9,2,1,,,34,2,,10,44,12,34,,4,12,1,,,,,,,,,,,
107,6,4,9,,1,6,9,4,1,3,1,4,,,43,4,,7,44,,12,3,6,4,3,,,,,,,,,,,
108,7,35,10,,6,12,35,7,1,3,5,1,,2,70,4,,9,44,11,10,,2,3,1,,,,,,,3,,,,
109,3,4,16,,8,21,31,8,1,3,3,,2,,60,1,4,15,40,15,29,,,7,1,,,,,,,,,,,
110,9,6,2,,3,17,21,7,1,20,4,1,,4,45,2,,22,44,14,7,,3,4,1,,,3,,,,,,,,
111,7,10,10,,2,19,23,5,1,2,,2,,,36,2,,11,48,6,22,,2,4,2,2,,,,,,,,,,
112,4,3,2,,,29,15,9,1,,1,2,,1,8,1,,5,38,7,36,1,3,2,8,,1,,,,,,,,,
113,24,5,12,,5,12,20,5,1,4,2,7,,,36,1,,7,41,14,11,,1,3,1,,,,,,,,,,,
114,12,9,24,,1,10,33,2,1,3,,5,,,67,3,,7,58,17,22,,,2,3,4,,1,,,,,,,,1
115,21,4,14,,4,53,14,6,1,3,4,,1,,44,14,,18,45,14,26,1,1,3,1,,,1,,,,,,,,
116,4,20,9,,5,36,29,16,1,19,5,2,1,1,21,1,,19,53,14,28,,4,4,1,,,,,,,1,,,,
117,9,11,14,,9,15,24,7,1,3,16,1,1,,54,4,,5,37,6,18,,1,5,1,,,,,,,,,,,
118,11,4,14,,,12,14,6,1,,3,2,,2,23,7,,11,114,5,18,,1,2,2,,,1,,,,,,,,
119,11,10,8,,,16,36,9,1,5,5,1,4,2,58,1,,19,62,3,12,,,1,1,,1,,,,,,,,,
120,7,4,13,,,30,16,5,1,14,3,1,3,2,31,4,,18,37,7,49,1,,2,1,,,,,,,,,,,
121,18,10,7,,2,21,26,2,1,8,2,8,,2,41,22,,3,57,14,22,,,7,1,,,1,,,,1,,,,
122,1,8,6,3,5,13,9,9,1,,1,,,,28,1,,25,56,10,8,,,3,1,,,,,,,,,,,
123,11,13,13,,3,10,30,5,1,1,33,2,,,60,1,,9,41,13,28,,1,8,1,1,1,1,,,,,,,,
124,16,,23,,1,12,75,3,1,1,3,1,6,5,48,1,4,14,57,43,18,,,5,1,,,1,,,,,,,,
125,9,2,8,,7,7,12,4,1,2,,7,,,27,3,,13,32,9,5,,7,7,1,,,3,,,,,,,,
126,7,2,12,,5,32,21,12,1,1,12,5,3,1,34,2,,8,57,11,33,,4,5,2,,,,,,,,,,,
127,12,,18,,,25,10,7,1,4,9,4,,1,26,2,,17,43,37,23,,,4,1,,,,,1,,,,1,,
128,15,7,14,,2,18,14,7,1,4,1,11,,1,17,1,,7,50,4,27,,1,2,2,2,,,,,,,,,,
129,5,13,3,,,12,20,5,1,25,20,1,,,64,1,,6,65,5,6,,1,5,2,1,,,,,,,,,,2
130,3,,4,,1,5,5,5,1,,2,1,1,,9,1,,3,16,1,9,1,1,2,1,,,2,,,,,,,,
131,1,,,,1,1,1,1,1,,1,1,,,,1,,,20,,2,,,1,1,,,,,,,,,,,
132,2,6,9,,1,20,27,10,1,4,,1,,1,28,1,,17,120,3,20,,1,11,1,,,,,,,,,,,
133,28,12,11,,1,15,26,21,1,1,3,5,5,,75,7,,33,43,7,20,4,6,5,1,4,,4,,,,,,,,
134,26,14,4,,,21,13,9,1,5,6,4,3,2,46,1,,10,42,24,15,13,5,3,1,2,,,,,,1,,,,
135,5,4,1,,11,18,18,14,1,1,1,2,,,16,1,,5,41,12,13,,,1,1,,,,,,,,,,,
136,4,4,15,3,4,21,11,14,1,3,2,,1,,40,2,1,12,36,18,14,,1,1,1,,,1,,,,,,,,
137,8,12,6,,2,14,17,9,1,2,8,1,,4,50,5,,9,38,6,15,,2,10,1,,,,,,,,,,,
138,8,20,8,3,11,11,10,2,1,3,7,3,,,33,1,,31,37,25,16,,,2,1,1,,,,,,,,,,
139,6,7,6,,1,23,11,6,1,3,3,2,,,29,1,1,14,37,8,14,3,,2,1,,,,,,,,,,,
140,6,17,10,,4,19,23,13,1,3,7,7,2,1,54,2,5,10,58,8,21,1,,1,1,,3,1,,,,,,,,
141,10,13,8,,2,5,26,6,1,11,,1,,3,26,2,,4,46,18,4,4,3,2,3,,,,,,,3,,,,
142,14,5,7,,2,40,29,10,1,6,7,3,,7,39,1,,31,40,11,25,,,1,1,,,,,,,,,,,
143,5,1,6,,6,20,33,6,1,10,2,1,,,52,1,5,10,33,6,17,,3,5,1,,,,,,,,,,,
144,14,6,9,,,30,18,14,1,6,4,,9,,31,1,,19,43,16,32,,,5,1,1,,,,,,1,,,,
145,8,7,11,,2,19,17,5,1,3,,3,,,44,5,,15,42,4,25,,8,5,1,2,,,,,,,,,,
146,20,1,,,2,22,43,8,1,,,1,2,,57,2,8,18,42,12,14,1,7,1,1,,,,,2,,,,,,
147,4,4,4,,3,20,13,2,1,5,3,1,,,12,1,,5,23,7,38,,1,1,10,,1,,,,,,,,,
148,23,2,17,,5,8,55,3,1,3,1,1,1,4,39,1,,8,54,40,17,,,3,1,,,1,,,,,,,,
149,4,2,3,,,14,9,8,1,4,6,,2,,31,1,,9,32,4,21,,,5,1,,,,,,,,,,,1
150,36,1,1,,,42,74,1,1,1,7,1,1,1,56,45,,3,22,8,54,,,10,1,,,,,,1,,,,,
151,27,5,6,,,28,21,4,1,3,3,1,1,,25,2,,7,58,13,24,,1,6,1,,,3,,,,,,,,
152,5,10,9,,4,20,25,4,1,6,3,3,,,33,1,,6,50,9,15,,,5,1,,,,,,,,,,,
153,1,,,,,1,2,1,1,,,1,,,,1,,,20,1,2,,,1,2,,,,,,,,,,,
154,6,3,2,,,29,12,9,1,,1,4,,1,8,2,,6,35,8,38,1,3,2,9,,,1,,,,,,,,
155,8,31,4,,1,16,10,2,1,10,2,1,,1,19,1,,23,53,3,22,6,1,4,1,1,,,,,,,,,,
156,11,1,19,,,19,14,8,1,5,,1,4,2,22,1,,21,57,14,20,1,3,1,1,,,,,2,,,,,,
157,1,,,,,1,2,2,1,,,1,,,,1,,1,17,1,2,,,1,1,,,1,,,,,,,,
158,12,5,8,,1,20,17,5,1,,2,,3,,25,5,,48,52,3,21,,,1,3,1,,,,,,,,,,2
159,5,8,22,2,2,29,14,30,1,,,1,,,53,1,,3,73,4,16,,,1,1,,,,,,,,,,,
160,8,,,,,23,4,10,2,,1,1,,,,,,26,27,3,26,4,,,,1,,,,,,2,,,,
161,,,,,,,2,4,2,,1,2,,,,,,1,19,1,,,,,,1,,1,,,,,,,,
162,7,5,6,,1,17,23,9,2,3,5,3,2,1,31,,,13,32,7,17,,,,,1,,,,,,1,,,,
163,7,1,12,,5,17,14,13,2,4,5,2,,,43,,,21,41,9,19,1,1,1,,1,,,,,,1,,,,
164,8,7,1,,3,17,13,16,2,4,5,4,2,,33,,,10,36,6,17,,1,7,,5,,,,,,,,,,4
165,15,8,11,,3,13,15,8,2,6,4,3,7,1,52,2,,12,53,7,15,4,2,4,,4,,,,,,2,,,,
166,11,4,6,,6,10,13,10,2,1,4,2,,,37,,,10,35,2,2,,3,1,,1,,,,,,,,,,
167,15,4,8,,1,13,17,6,2,6,10,4,5,3,60,3,,12,54,7,12,2,1,5,,4,,,,,,,,,,
168,1,,,,1,,1,4,2,,3,1,1,,1,,,,18,,1,,,,,1,,,,,,,,,,
169,11,1,7,,3,19,23,16,2,1,6,22,,,41,2,,14,45,11,14,,,4,4,1,2,1,,,,,,,,1
170,3,15,6,,1,22,19,9,2,7,1,4,2,,28,,,6,44,26,21,2,3,3,,1,,,,,,,,,,
171,19,8,15,,2,18,40,11,2,7,10,1,7,4,58,,,15,35,9,19,1,2,10,,1,2,2,,,,,,,,
172,9,2,12,,3,21,21,10,2,1,1,4,1,2,23,,,15,35,11,28,3,,4,1,1,,,,,,,,,,
173,9,1,4,,5,12,21,6,2,3,8,1,2,,28,,,3,37,4,5,2,2,5,,1,,,,,,,,,,1
174,7,8,12,1,4,17,36,18,2,7,7,6,1,1,88,3,,13,53,11,19,,7,11,1,2,,1,,,1,,,,,
175,25,3,13,1,5,44,37,19,2,8,6,9,,1,105,5,,15,83,20,33,1,3,4,,2,,,,,,2,,,,
176,10,11,13,,7,22,28,9,2,7,7,1,2,3,66,,,16,48,19,11,,2,3,,2,,,,,,,,,,
177,5,6,2,,2,3,8,11,2,5,2,4,,,19,,,11,34,9,3,,2,3,,1,,1,,,,1,,,,
178,2,7,7,,1,38,51,15,2,3,4,6,,2,61,1,,11,129,7,29,,1,6,,1,,,,,2,1,,,,
179,10,5,18,,5,26,31,18,2,9,15,7,5,,68,1,,8,65,13,18,,8,2,2,1,1,,,,,3,,,,1
180,5,18,6,2,9,27,39,14,2,,3,7,,,68,1,,26,29,18,11,,3,,,2,1,,,,,,,,,
181,6,5,27,,2,23,81,14,2,4,6,5,,,48,1,,4,64,19,11,1,,2,,1,,,,,,,,,,
182,4,3,6,,1,38,40,13,2,16,4,3,2,,55,,,14,42,15,27,1,3,4,1,1,,,,,,,,1,,
183,4,12,23,,7,19,44,14,2,5,12,6,2,,86,,,23,65,18,26,,,8,,2,,1,,,,2,,,,
184,7,13,11,,9,21,22,9,2,6,6,9,1,1,66,1,,16,40,14,14,1,8,1,1,3,1,,,,,,,,,
185,11,1,1,,4,14,21,12,2,6,3,2,2,,58,1,,6,53,6,13,,,3,1,1,,1,,,,,,,,
186,,,,,,,2,3,2,,1,1,,,,,,1,20,1,1,,,,,1,,,,,,1,,,,
187,4,2,4,,4,10,16,14,2,4,2,5,,1,37,,,10,37,11,3,,2,1,,2,1,,,,,,,,,
188,3,3,5,,2,12,9,7,2,,3,2,,1,25,1,1,6,29,2,16,,,2,2,1,,,,,,,,,,
189,4,2,3,,2,7,24,13,2,1,2,3,,,40,1,,2,23,1,,,3,,,1,,1,,,,,,,,
190,9,7,8,,3,24,52,19,2,10,9,2,1,,72,2,,26,63,19,15,,4,3,1,2,,1,,,,,,,,
191,8,,40,,1,10,48,5,2,1,3,2,2,1,52,2,,8,70,8,14,,1,9,,1,,,,,,,,,,
192,5,19,2,1,4,10,16,8,2,2,3,3,2,1,58,1,,10,60,3,7,,6,4,,1,,,,1,,1,,,,
193,10,11,9,,2,36,37,17,2,6,2,4,1,2,82,1,,13,61,14,25,,2,5,,3,,,,,,,,,,
194,10,11,21,,4,22,38,5,2,7,8,2,,1,36,3,,9,37,3,36,2,5,4,,1,,,,,,,,,,
195,2,3,1,,1,3,10,4,2,1,3,1,2,,13,,,3,38,7,3,,,,,1,,,,,,,,,,
196,8,11,14,1,1,21,31,14,2,2,5,5,2,,60,1,,15,50,12,15,,3,2,,4,,,,1,,,,,,
197,27,9,9,,1,19,46,10,2,2,4,2,5,1,54,11,4,3,47,3,22,3,2,11,,1,,,,,,,,,,
198,,,,,,2,2,4,2,,1,1,,,,,,,18,1,2,,,,,1,,,,,,,,,,
199,8,9,6,,5,22,38,9,2,3,3,3,,,52,,,6,46,13,15,,4,3,2,1,,,,1,,,,,,
200,8,11,7,,1,26,9,20,2,2,3,2,2,,33,,,7,45,3,27,,1,4,,2,,,,,,,,,,
201,21,3,2,,1,18,16,9,2,3,5,2,1,,37,1,,2,49,7,14,4,2,,,1,1,1,,,,,,,,2
202,9,7,6,,1,17,22,9,2,2,7,1,,,33,,,10,50,20,4,1,,11,,1,,,,,,1,,,,
203,12,1,13,1,1,20,17,6,2,7,7,6,1,,28,,1,19,36,14,20,,1,3,5,1,,1,,,,,,,,
204,5,12,12,,1,5,27,12,2,2,6,2,1,,47,,,12,39,13,9,,2,1,,1,,,,,,,,,,
205,,,,,1,,1,3,2,,2,1,,,,,,,22,,,,,,,1,,,,,,,,,,
206,16,5,11,,10,6,20,11,2,2,10,9,,,55,1,,9,40,22,1,,17,,,1,,,,,,,,,,6
207,5,1,3,,6,6,10,4,2,3,1,3,2,,32,,,19,38,4,6,1,6,,,1,4,,,,,1,,,,
208,16,3,1,,3,17,27,15,2,1,8,2,1,,79,,,9,62,7,15,,10,3,,3,1,1,,,,,,,,
209,10,8,8,,6,9,31,8,2,5,7,2,1,,57,3,,11,42,6,6,,4,,,1,,2,,,1,,1,,,
210,17,5,8,,3,25,26,14,2,6,3,6,2,1,56,2,,13,55,10,24,1,3,5,1,1,,1,,1,,,,,,
211,7,2,4,,2,16,15,8,2,6,7,4,4,,49,,,16,52,11,15,2,2,8,2,1,,1,,,,,,,,
212,20,,12,,2,1,54,13,2,,1,5,13,2,187,2,,8,70,9,1,,2,,,1,,,3,26,,1,,,,
213,10,4,6,,4,23,25,12,2,6,4,4,5,1,39,,,17,47,6,17,,,1,1,1,,2,,,,1,,,,
214,,,,,,,2,4,2,,1,2,,,,,,,21,,,,,,,1,,,,,,,,,,
215,,,,,,,2,3,2,,1,2,,,,,,,22,,,,,,,1,,,,,,,,,,
216,6,7,9,,5,12,20,14,2,7,6,2,,,59,,,3,56,19,5,1,2,,,1,,,,,,1,,,,
217,12,5,8,,1,13,26,4,2,7,4,2,4,1,38,1,,9,39,16,12,,4,1,3,1,1,,,,,,,,,
218,13,2,4,,4,21,26,11,2,3,10,6,1,,54,1,,15,48,16,10,,2,2,,2,,,,,1,,,,,1
219,11,16,6,,,18,17,10,2,13,6,11,1,2,67,2,,16,39,11,23,1,3,9,,3,,,,,,1,,,,
220,4,6,12,,1,6,43,7,2,4,1,2,,,55,,1,11,25,12,1,,,,,2,,,,,,,,,,
221,9,5,8,,7,27,33,13,2,5,2,4,,,51,,,7,43,37,7,,2,,,1,,5,,1,,1,,,,
222,6,10,9,,3,12,19,7,2,4,4,2,,1,36,,,16,26,16,4,,6,,1,6,,1,,,,,,,,
223,2,8,6,,,11,17,5,2,3,1,3,,,27,,,12,24,7,13,,1,,,1,,,,,,,,,,
224,14,5,19,1,5,33,51,12,2,9,9,4,7,,91,1,,19,57,20,41,2,1,8,,1,,,,,,1,,,,
225,,3,3,,,12,19,7,2,,6,5,,1,28,,,8,45,18,5,,,,,1,1,1,,1,,,,,,
226,,,8,,10,10,5,4,2,3,4,4,,,19,,,3,32,7,7,,,5,,2,,1,,,,,,,,
227,5,4,14,,3,13,25,7,2,8,6,4,,,35,1,,14,45,16,9,,2,1,,3,,,,,,,,,,
228,15,17,12,1,2,11,48,14,2,6,10,4,2,,64,3,,15,33,17,4,,,,,1,,,,,,1,,,,
229,,,5,,1,7,5,5,2,1,3,2,,,17,,,3,32,3,7,,2,,1,1,,,,,,,,,,
230,,1,2,,1,5,3,5,2,1,3,4,,,5,,,,23,,5,,,,1,1,,,,,,,,,,
231,1,,5,,2,20,14,6,2,1,2,2,,,23,1,1,5,30,5,10,,,1,,1,,,,,,1,,,,
232,14,,10,,1,21,30,9,2,6,5,7,,,41,1,,10,36,10,21,3,1,2,,1,,,,,,,,,,
233,,,,,1,,1,3,2,,2,2,,,,,,,22,,,,,,,1,,,,,,,,,,
234,10,10,17,,1,7,25,13,2,1,6,8,2,,44,5,,9,43,10,11,2,3,,2,1,,,,,,,,,,
235,9,3,1,,5,9,15,8,2,,6,2,2,,16,,,2,25,9,4,1,5,2,1,2,,,,,,,,,,
236,,,,,,2,2,4,2,,1,1,,,,,,,18,1,2,,,,,1,,,,,,,,,,
237,3,4,4,,3,6,9,7,2,1,4,4,1,,27,,,3,41,9,3,,,,,2,,,,,1,,,,,
238,5,,1,,4,9,15,10,2,1,3,2,3,,31,,,9,33,6,6,1,1,1,1,1,,1,,,,,,,,
239,16,2,4,,6,29,16,19,2,4,7,1,2,,31,3,1,8,47,13,18,,,12,1,3,,,,,,1,,,,
240,5,5,5,,,13,13,8,2,1,5,3,3,2,47,,,11,37,9,13,,,,,2,,,,,,,,,,
241,8,4,25,1,5,3,12,15,2,1,3,2,5,,23,2,,5,31,7,12,,,2,,1,,,,,,,,,,
242,3,5,6,,5,26,12,5,2,2,2,26,,,21,1,1,9,34,15,8,1,,1,,1,,,,,,,,,,
243,8,1,2,,4,13,15,9,2,1,1,2,,1,18,,,10,32,8,11,1,1,,,2,,,,,,1,,,,
244,5,18,7,,6,17,10,10,2,,3,3,1,1,31,1,,5,51,12,14,,1,2,,1,,,,,,,,,,1
245,,8,12,,6,6,17,7,2,,2,2,,1,25,,,4,41,19,5,,,,1,1,,1,,,,,,,,
246,8,3,,,1,10,13,11,2,4,3,1,,,26,2,,12,46,3,,,,,1,1,,,,,,,,,,
247,,,,,,,2,4,2,,1,2,,,,,,,21,,,,,,,1,,,,,,,,,,
248,5,11,7,,3,12,30,11,2,2,1,5,5,,53,,,10,34,13,15,,1,,1,1,,,,,,,,,,3
249,8,7,1,1,,7,19,4,2,3,1,1,,,21,,,5,34,13,10,2,,,,1,,1,,,,1,,,,1
250,7,7,4,,1,15,16,6,2,1,8,2,1,,50,,,4,34,11,8,,,1,,1,,4,,,,,,,,
251,2,1,11,,4,18,19,11,2,,2,2,,,21,,,18,37,7,10,,,1,,1,,,,,,,,,,3
252,5,2,5,,,6,11,11,2,3,4,4,1,,47,,,6,57,14,2,,,,,2,,1,,2,,,,1,,
253,2,3,9,1,1,6,16,3,2,2,3,3,,,42,,,1,22,17,1,,,1,1,2,,,,,,,,,,
254,5,3,9,,5,9,24,10,2,1,5,3,3,,48,,,8,35,25,3,,,,,1,,,,,,1,,,,
255,9,3,1,,2,15,17,5,2,4,2,1,1,3,43,,,14,34,5,16,,,,,1,,1,,,,1,,,,
256,3,13,,,3,3,21,7,2,11,8,1,,,52,,,2,34,8,,3,2,,1,1,,,,,,5,,,,
257,2,1,4,,5,14,16,8,2,13,2,2,,,31,,,9,35,8,11,,1,3,1,1,,,,,,,,,,1
258,12,7,5,,1,25,25,4,2,2,5,7,1,1,29,2,,6,38,22,15,,2,,,2,,1,,,,1,,,,
259,2,6,9,,3,7,17,5,2,6,7,5,1,1,37,,,10,52,19,3,,4,3,1,3,,3,,,,,,,,
260,,7,5,,3,11,12,16,2,5,4,1,,2,35,,,10,31,8,5,,1,,,2,,1,,,,,,,,
261,3,4,16,,8,7,10,8,2,2,3,2,,1,49,,,7,53,7,5,3,,,,1,,1,,,,,,,,1
262,4,4,8,,5,17,44,7,2,6,3,5,2,,44,,,8,54,28,3,,,,1,1,,,,,,,,,,
263,3,10,8,,3,9,22,12,2,15,2,4,,1,40,3,,7,69,28,7,,,1,,3,,,,,,,,,,
264,9,4,2,,1,11,11,8,2,3,5,4,6,1,22,,,4,38,10,13,,,2,,1,,,,,,,,,,
265,3,8,4,,6,3,8,7,2,,3,5,1,,19,,,6,33,9,2,,,,,1,2,,,,,,,,,1
