,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,genre,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,WDT,WP,CC,JJR,FW,PDT,NNPS,JJS,$,WP$,EX,RBS,POS
139,3.0,2.0,24.0,,1.0,23.0,25.0,8.0,1,,,2.0,,2.0,53.0,1.0,,12.0,60.0,4.0,21.0,,15.0,,1.0,12.0,,,,,,,,,,
140,9.0,2.0,4.0,,4.0,24.0,10.0,3.0,1,2.0,5.0,5.0,2.0,,11.0,1.0,,14.0,33.0,4.0,25.0,1.0,,,2.0,10.0,,,,,,,,,,
141,40.0,4.0,17.0,,2.0,15.0,16.0,12.0,1,9.0,5.0,1.0,1.0,2.0,60.0,3.0,1.0,6.0,37.0,7.0,46.0,1.0,2.0,,1.0,12.0,4.0,,,,,,,1.0,,
142,2.0,1.0,5.0,,1.0,5.0,3.0,5.0,1,1.0,,3.0,,2.0,9.0,1.0,,1.0,26.0,3.0,7.0,1.0,1.0,,1.0,1.0,,,,,,,,,,
143,14.0,4.0,9.0,,4.0,15.0,17.0,9.0,1,8.0,8.0,5.0,1.0,1.0,52.0,6.0,,19.0,43.0,3.0,19.0,,4.0,,1.0,10.0,,,,,,,,,,
144,10.0,9.0,5.0,,3.0,13.0,19.0,5.0,1,3.0,1.0,2.0,2.0,,31.0,2.0,,9.0,47.0,15.0,13.0,,,1.0,1.0,10.0,,,,,,,,,,
145,15.0,7.0,15.0,,1.0,16.0,11.0,10.0,1,4.0,3.0,10.0,,1.0,18.0,2.0,,7.0,50.0,4.0,26.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,
146,18.0,7.0,31.0,,12.0,11.0,38.0,29.0,1,6.0,2.0,8.0,,,22.0,20.0,,12.0,51.0,26.0,12.0,,3.0,,1.0,6.0,1.0,,,,,,,,,
147,6.0,14.0,11.0,,6.0,27.0,25.0,14.0,1,7.0,4.0,1.0,1.0,1.0,40.0,2.0,,20.0,34.0,21.0,25.0,,,1.0,1.0,10.0,1.0,,,,,,,,,
148,1.0,8.0,6.0,3.0,5.0,13.0,9.0,10.0,1,,,1.0,,,28.0,1.0,,25.0,55.0,10.0,8.0,,,,1.0,3.0,,,,,,,,,,
149,7.0,35.0,11.0,,6.0,12.0,35.0,7.0,1,3.0,6.0,,,2.0,70.0,4.0,,9.0,43.0,11.0,10.0,,2.0,3.0,1.0,3.0,,,,,,,,,,
150,1.0,6.0,28.0,,,16.0,8.0,21.0,1,,,,,1.0,40.0,3.0,,5.0,41.0,9.0,19.0,,,1.0,1.0,1.0,,,,,2.0,,,,,
151,15.0,1.0,18.0,,5.0,16.0,58.0,4.0,1,2.0,1.0,,1.0,4.0,33.0,1.0,,9.0,41.0,45.0,13.0,,,,1.0,3.0,,,,,1.0,,,,,
152,7.0,10.0,10.0,,2.0,19.0,23.0,5.0,1,2.0,,2.0,,,36.0,2.0,,11.0,48.0,5.0,22.0,,2.0,,1.0,4.0,2.0,,,,,,,,,
153,51.0,1.0,7.0,,2.0,27.0,15.0,17.0,1,4.0,,2.0,5.0,1.0,36.0,1.0,,19.0,34.0,8.0,17.0,1.0,1.0,,1.0,7.0,,,,,,,,1.0,,
154,6.0,8.0,5.0,,2.0,10.0,22.0,8.0,1,4.0,8.0,,4.0,,60.0,1.0,,24.0,42.0,16.0,4.0,4.0,3.0,,1.0,1.0,,,,,,,,1.0,,
155,6.0,17.0,10.0,,4.0,19.0,23.0,13.0,1,3.0,7.0,7.0,2.0,1.0,54.0,2.0,5.0,9.0,61.0,7.0,21.0,1.0,,,1.0,1.0,,,,3.0,,,,,,
156,31.0,5.0,4.0,,,27.0,32.0,4.0,1,3.0,2.0,,4.0,,26.0,3.0,8.0,6.0,63.0,16.0,25.0,,1.0,,1.0,4.0,,,,,3.0,,,,,
157,24.0,5.0,11.0,,5.0,12.0,20.0,6.0,1,4.0,1.0,8.0,,,36.0,1.0,,7.0,42.0,14.0,11.0,,1.0,,1.0,3.0,,,,,,,,,,
158,7.0,4.0,13.0,,,30.0,16.0,4.0,1,14.0,3.0,1.0,3.0,2.0,31.0,4.0,,18.0,38.0,7.0,49.0,1.0,,,1.0,2.0,,,,,,,,,,
159,3.0,4.0,15.0,,8.0,21.0,31.0,8.0,1,3.0,2.0,,2.0,,60.0,1.0,4.0,16.0,40.0,15.0,30.0,,,1.0,1.0,7.0,,,,,,,,,,
160,12.0,13.0,11.0,,4.0,10.0,30.0,6.0,1,1.0,34.0,2.0,1.0,,61.0,1.0,,9.0,39.0,13.0,29.0,,1.0,,1.0,8.0,1.0,,,1.0,,,,,,
161,3.0,14.0,11.0,,3.0,10.0,19.0,8.0,1,2.0,2.0,2.0,,2.0,49.0,1.0,,12.0,38.0,2.0,14.0,3.0,1.0,,1.0,8.0,,,,,,,,,,
162,6.0,4.0,8.0,,1.0,8.0,9.0,5.0,1,3.0,,3.0,,,43.0,4.0,,7.0,41.0,1.0,14.0,3.0,6.0,,3.0,4.0,,,,,,,,,,
163,13.0,9.0,3.0,,,25.0,17.0,9.0,1,3.0,3.0,1.0,,1.0,39.0,6.0,,19.0,40.0,6.0,21.0,,1.0,,1.0,1.0,,,,,,,,,,
164,9.0,6.0,2.0,,3.0,17.0,21.0,7.0,1,20.0,4.0,1.0,,4.0,45.0,2.0,,22.0,44.0,14.0,7.0,,3.0,,1.0,4.0,,,,,3.0,,,,,
165,12.0,,18.0,,,25.0,10.0,6.0,1,4.0,9.0,4.0,,1.0,26.0,2.0,,17.0,44.0,37.0,23.0,,,,1.0,4.0,,1.0,,,,,,,1.0,
166,12.0,15.0,7.0,,2.0,22.0,22.0,3.0,1,2.0,,1.0,,,47.0,4.0,,21.0,36.0,7.0,20.0,,,,2.0,8.0,,1.0,,,,,,,,
167,15.0,7.0,14.0,,2.0,20.0,14.0,8.0,1,4.0,1.0,10.0,,1.0,17.0,1.0,,7.0,45.0,5.0,29.0,,1.0,,1.0,2.0,2.0,,,,,,,,,
168,9.0,2.0,8.0,,7.0,9.0,12.0,4.0,1,2.0,,5.0,,,26.0,3.0,,12.0,29.0,9.0,6.0,,6.0,,1.0,7.0,,,,,3.0,,,,,
169,11.0,,4.0,,4.0,39.0,29.0,17.0,1,,2.0,4.0,1.0,,34.0,1.0,,7.0,36.0,14.0,31.0,4.0,2.0,,1.0,1.0,,,,,,,,,,
170,7.0,2.0,12.0,,5.0,32.0,21.0,12.0,1,1.0,12.0,5.0,3.0,1.0,34.0,2.0,,8.0,57.0,11.0,33.0,,4.0,,2.0,5.0,,,,,,,,,,
171,8.0,20.0,8.0,3.0,11.0,12.0,10.0,3.0,1,3.0,7.0,3.0,,,33.0,1.0,,31.0,39.0,25.0,17.0,,,,1.0,2.0,1.0,,,,,,,,,
172,11.0,4.0,14.0,,,12.0,14.0,5.0,1,,4.0,1.0,,2.0,23.0,7.0,,10.0,118.0,4.0,18.0,,1.0,,2.0,2.0,,,,,,,,,,
173,7.0,25.0,17.0,,1.0,17.0,30.0,7.0,1,9.0,2.0,2.0,,,35.0,2.0,,11.0,42.0,13.0,34.0,,5.0,,1.0,12.0,,,,,,,,,,
174,6.0,7.0,6.0,,1.0,23.0,11.0,6.0,1,3.0,3.0,2.0,,,29.0,1.0,1.0,14.0,38.0,8.0,14.0,3.0,,,1.0,2.0,,,,,,,,,,
175,21.0,4.0,14.0,,4.0,53.0,14.0,7.0,1,3.0,3.0,1.0,1.0,,44.0,14.0,,18.0,43.0,14.0,26.0,1.0,1.0,,1.0,3.0,,,,,1.0,,,,,
176,26.0,14.0,4.0,,,21.0,13.0,8.0,1,5.0,6.0,2.0,3.0,2.0,45.0,1.0,,10.0,41.0,24.0,15.0,13.0,4.0,2.0,1.0,3.0,2.0,,,,,,,,,
177,4.0,4.0,4.0,,2.0,20.0,14.0,3.0,1,5.0,2.0,2.0,,,13.0,1.0,,6.0,22.0,8.0,39.0,,2.0,,10.0,1.0,,,,1.0,,,,,,
178,20.0,1.0,,,2.0,22.0,43.0,8.0,1,1.0,,1.0,2.0,,57.0,2.0,8.0,19.0,40.0,12.0,14.0,1.0,7.0,,1.0,1.0,,2.0,,,,,,,,
179,12.0,9.0,24.0,,1.0,10.0,33.0,2.0,1,3.0,,5.0,,,67.0,3.0,,7.0,58.0,16.0,22.0,,,,2.0,2.0,4.0,,,,1.0,,,1.0,,
180,8.0,31.0,4.0,,1.0,16.0,10.0,2.0,1,10.0,2.0,,,1.0,19.0,1.0,,23.0,54.0,3.0,22.0,6.0,1.0,,1.0,4.0,1.0,,,,,,,,,
181,36.0,1.0,1.0,,,42.0,74.0,2.0,1,2.0,6.0,1.0,1.0,1.0,56.0,45.0,,4.0,20.0,8.0,54.0,,,,1.0,10.0,,,1.0,,,,,,,
182,4.0,3.0,2.0,,,29.0,15.0,9.0,1,,1.0,2.0,,1.0,8.0,1.0,,5.0,38.0,7.0,36.0,1.0,3.0,,8.0,2.0,,,,1.0,,,,,,
183,4.0,20.0,9.0,,5.0,36.0,29.0,16.0,1,19.0,6.0,2.0,1.0,1.0,21.0,1.0,,18.0,56.0,13.0,27.0,,4.0,,1.0,4.0,,,,,,,,,,
184,8.0,12.0,6.0,,2.0,14.0,17.0,9.0,1,2.0,7.0,1.0,,4.0,50.0,5.0,,10.0,35.0,7.0,16.0,,2.0,1.0,1.0,10.0,,,,,,,,,,
185,18.0,10.0,7.0,,2.0,21.0,26.0,2.0,1,8.0,2.0,8.0,,2.0,41.0,22.0,,3.0,57.0,15.0,22.0,,,1.0,2.0,7.0,,,,,1.0,,,,,
186,17.0,11.0,4.0,,1.0,12.0,14.0,10.0,1,1.0,,1.0,,,60.0,5.0,,6.0,44.0,10.0,12.0,,,,1.0,2.0,,2.0,,,,,,,,
187,5.0,8.0,22.0,2.0,2.0,29.0,14.0,30.0,1,,,1.0,,,53.0,1.0,,3.0,73.0,4.0,16.0,,,,1.0,1.0,,,,,,,,,,
188,28.0,12.0,11.0,,1.0,14.0,26.0,19.0,1,1.0,3.0,5.0,5.0,,75.0,7.0,,33.0,42.0,7.0,19.0,4.0,6.0,,1.0,5.0,4.0,,,,4.0,,,,,
189,11.0,4.0,3.0,,5.0,28.0,34.0,19.0,1,7.0,3.0,4.0,4.0,2.0,69.0,1.0,2.0,23.0,48.0,28.0,15.0,,2.0,,2.0,5.0,,,,,,,,,,
190,5.0,13.0,3.0,,,12.0,20.0,5.0,1,25.0,20.0,1.0,,,64.0,1.0,,6.0,65.0,5.0,6.0,,1.0,,2.0,5.0,1.0,,,,,,,2.0,,
191,6.0,4.0,1.0,,11.0,18.0,18.0,15.0,1,1.0,3.0,1.0,1.0,,17.0,1.0,,5.0,37.0,12.0,14.0,,,,1.0,1.0,,,,,,,,,,
192,11.0,10.0,8.0,,,16.0,36.0,8.0,1,5.0,5.0,,4.0,2.0,58.0,1.0,,20.0,61.0,4.0,13.0,,,1.0,1.0,1.0,,,,1.0,,,,,,
193,5.0,1.0,6.0,,6.0,19.0,33.0,4.0,1,10.0,2.0,1.0,,,52.0,1.0,5.0,10.0,32.0,6.0,16.0,,3.0,,1.0,5.0,,,,,,,,,,
194,9.0,13.0,15.0,1.0,2.0,10.0,22.0,11.0,1,5.0,,1.0,,8.0,23.0,1.0,,15.0,21.0,14.0,11.0,,1.0,,1.0,6.0,,,,,,,,,,
195,26.0,17.0,22.0,,1.0,20.0,24.0,7.0,1,3.0,4.0,1.0,,6.0,40.0,1.0,,12.0,39.0,21.0,11.0,1.0,3.0,,1.0,2.0,1.0,,,,,,,,,
196,2.0,,4.0,,1.0,6.0,5.0,6.0,1,,,2.0,,,8.0,1.0,,3.0,21.0,1.0,9.0,1.0,1.0,,1.0,2.0,,,,,2.0,,,,,
197,1.0,,,,,1.0,2.0,1.0,1,,,,,,,1.0,,1.0,18.0,1.0,3.0,,,1.0,1.0,1.0,,,,,,,,,,
198,9.0,11.0,15.0,,8.0,13.0,24.0,7.0,1,3.0,16.0,2.0,1.0,,54.0,4.0,,5.0,40.0,5.0,16.0,,1.0,,1.0,5.0,,,,,,,,,,
199,14.0,5.0,7.0,,2.0,39.0,29.0,8.0,1,6.0,6.0,3.0,,7.0,39.0,1.0,,31.0,44.0,11.0,24.0,,,,1.0,1.0,,,,,,,,,,
200,6.0,3.0,1.0,,,29.0,12.0,10.0,1,,,6.0,,1.0,9.0,2.0,,7.0,36.0,9.0,39.0,1.0,4.0,,9.0,2.0,,,,,,,,,,
201,2.0,6.0,10.0,,,18.0,27.0,10.0,1,4.0,,3.0,,1.0,29.0,1.0,,18.0,123.0,3.0,19.0,,2.0,,1.0,11.0,,,,,,,,,,
202,16.0,,23.0,,,12.0,76.0,4.0,1,1.0,2.0,1.0,6.0,5.0,48.0,1.0,4.0,14.0,57.0,43.0,18.0,,,,1.0,5.0,,,,,1.0,,,,,
203,4.0,2.0,3.0,,1.0,12.0,8.0,7.0,1,4.0,7.0,1.0,2.0,,31.0,1.0,,9.0,36.0,3.0,19.0,,,,1.0,5.0,,,,,,,,1.0,,
204,27.0,5.0,6.0,,,29.0,21.0,5.0,1,3.0,3.0,1.0,1.0,,25.0,2.0,,7.0,60.0,13.0,25.0,,1.0,,1.0,6.0,,,,,3.0,,,,,
205,9.0,5.0,3.0,,4.0,15.0,15.0,6.0,1,17.0,4.0,1.0,,4.0,45.0,2.0,,18.0,45.0,10.0,8.0,2.0,3.0,,1.0,6.0,,,,,2.0,,,,,
206,11.0,1.0,18.0,,,19.0,14.0,8.0,1,5.0,,,4.0,2.0,22.0,1.0,,22.0,57.0,14.0,21.0,1.0,3.0,1.0,1.0,1.0,,2.0,,,,,,,,
207,14.0,6.0,9.0,,,30.0,18.0,15.0,1,6.0,4.0,1.0,9.0,,31.0,1.0,,18.0,44.0,15.0,31.0,,,,1.0,5.0,1.0,,,,,,,,,
208,16.0,11.0,5.0,,,11.0,21.0,7.0,1,1.0,,1.0,1.0,,60.0,6.0,2.0,6.0,51.0,13.0,12.0,,1.0,,2.0,3.0,,,,,,,,,,
209,1.0,,,,,2.0,2.0,3.0,1,,,1.0,,,,1.0,,,21.0,,3.0,,,,1.0,1.0,,,,,,,,,,
210,1.0,,1.0,,1.0,1.0,1.0,1.0,1,,1.0,,,,,1.0,,,19.0,,2.0,,,,1.0,1.0,,,,,,,,,,
211,10.0,13.0,8.0,,2.0,5.0,26.0,6.0,1,11.0,1.0,,,3.0,26.0,2.0,,4.0,47.0,17.0,4.0,4.0,3.0,3.0,2.0,2.0,,,,,,,,,,
212,11.0,5.0,8.0,,,21.0,18.0,6.0,1,,,1.0,2.0,,24.0,5.0,,48.0,57.0,3.0,21.0,,,,3.0,1.0,1.0,,,,,,,2.0,,
213,4.0,1.0,4.0,,4.0,36.0,7.0,19.0,2,5.0,2.0,1.0,1.0,,18.0,,,8.0,111.0,8.0,31.0,,4.0,1.0,3.0,5.0,2.0,,,,,,,,,
214,16.0,4.0,2.0,,2.0,3.0,38.0,6.0,2,,2.0,2.0,1.0,,16.0,1.0,1.0,4.0,40.0,3.0,8.0,,4.0,,,3.0,2.0,2.0,,,,,,,,
215,9.0,7.0,5.0,,2.0,6.0,16.0,3.0,2,3.0,8.0,2.0,9.0,,23.0,,,6.0,39.0,9.0,19.0,,,1.0,,2.0,1.0,,1.0,,,,,,,
216,4.0,6.0,1.0,,,6.0,9.0,9.0,2,2.0,6.0,2.0,,,27.0,,,5.0,34.0,9.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,
217,3.0,4.0,7.0,,1.0,12.0,25.0,14.0,2,7.0,12.0,2.0,,,54.0,,,11.0,32.0,15.0,13.0,,4.0,,,,1.0,,,,,,,,,
218,7.0,4.0,2.0,,,9.0,17.0,4.0,2,2.0,2.0,1.0,,2.0,36.0,,,2.0,42.0,7.0,17.0,,1.0,,,1.0,1.0,,,,,,,,,
219,3.0,6.0,3.0,,4.0,8.0,8.0,5.0,2,1.0,2.0,2.0,1.0,,16.0,,,12.0,29.0,8.0,5.0,,5.0,,,,1.0,,,,2.0,,,,,
220,18.0,2.0,10.0,,,11.0,28.0,5.0,2,,1.0,2.0,1.0,1.0,16.0,2.0,,5.0,45.0,2.0,13.0,7.0,,,7.0,2.0,1.0,,,,1.0,,,,,
221,,,4.0,,,9.0,19.0,5.0,2,,2.0,1.0,,,32.0,,,1.0,41.0,7.0,3.0,,,,,,1.0,,,,,,,,,
222,30.0,10.0,6.0,,2.0,27.0,22.0,5.0,2,21.0,1.0,2.0,,,40.0,2.0,,24.0,51.0,14.0,48.0,,1.0,,1.0,1.0,4.0,,,,1.0,,,,,
223,3.0,3.0,3.0,,,4.0,20.0,5.0,2,11.0,8.0,1.0,,,67.0,,,5.0,42.0,6.0,3.0,,1.0,,,,1.0,,,,1.0,,,,,
224,11.0,4.0,7.0,,2.0,13.0,17.0,5.0,2,1.0,4.0,2.0,,,31.0,,,10.0,40.0,5.0,9.0,,1.0,,,,2.0,,,,,,,,,
225,10.0,,7.0,,3.0,13.0,12.0,8.0,2,2.0,5.0,2.0,1.0,1.0,36.0,,,10.0,38.0,12.0,12.0,3.0,4.0,1.0,2.0,,1.0,,,,,,,,,
226,2.0,6.0,6.0,,,4.0,11.0,4.0,2,3.0,3.0,5.0,1.0,2.0,12.0,,,6.0,38.0,6.0,4.0,,,1.0,1.0,,1.0,,,,,,,,,
227,,,,,,,2.0,3.0,2,,2.0,1.0,,,,,,,23.0,,,,,,,,1.0,,,,,,,,,
228,3.0,4.0,2.0,,1.0,6.0,10.0,6.0,2,1.0,1.0,1.0,1.0,1.0,11.0,,,6.0,26.0,4.0,5.0,,,,,1.0,1.0,,,,,,,,,
229,1.0,,3.0,,1.0,20.0,8.0,6.0,2,1.0,5.0,5.0,,,3.0,,,4.0,25.0,16.0,7.0,1.0,1.0,,,,1.0,,,,,,,,,
230,2.0,2.0,4.0,,1.0,1.0,5.0,4.0,2,3.0,11.0,3.0,,,59.0,,,4.0,43.0,2.0,1.0,,,,2.0,,1.0,,,,,,,,,
231,,4.0,3.0,,1.0,14.0,15.0,4.0,2,,3.0,2.0,,,29.0,,,11.0,41.0,28.0,3.0,,,,1.0,,3.0,,,1.0,,,,,,
232,,,,,,,2.0,3.0,2,,1.0,2.0,,,,,,,22.0,1.0,,,,,1.0,,1.0,,,,,,,,,
233,1.0,6.0,5.0,,1.0,5.0,5.0,4.0,2,5.0,4.0,3.0,1.0,,25.0,,,3.0,49.0,2.0,,,,,,1.0,1.0,,,,,,,,,
234,1.0,7.0,8.0,,7.0,15.0,24.0,22.0,2,12.0,10.0,2.0,,,92.0,,,9.0,43.0,20.0,7.0,,1.0,,,,1.0,1.0,,,,,,,,
235,3.0,18.0,5.0,,1.0,4.0,16.0,8.0,2,1.0,2.0,2.0,,,39.0,1.0,,2.0,33.0,2.0,3.0,,,,,3.0,1.0,,,,,,,,,
236,7.0,2.0,,,,5.0,7.0,8.0,2,1.0,2.0,2.0,3.0,,12.0,,,5.0,33.0,5.0,9.0,,1.0,,,1.0,1.0,,,,2.0,,,4.0,,
237,11.0,2.0,4.0,,2.0,13.0,15.0,19.0,2,1.0,2.0,11.0,,6.0,31.0,,,8.0,28.0,6.0,9.0,,8.0,,,2.0,1.0,1.0,,,,,,,,
238,1.0,,,,1.0,,1.0,4.0,2,,3.0,1.0,1.0,,1.0,,,,18.0,,1.0,,,,,,1.0,,,,,,,,,
239,4.0,5.0,4.0,,2.0,3.0,6.0,5.0,2,1.0,2.0,2.0,,2.0,43.0,,,12.0,41.0,2.0,,,,,,,1.0,,,,,,,,,
240,6.0,3.0,1.0,,2.0,9.0,7.0,7.0,2,4.0,1.0,3.0,,,10.0,1.0,,1.0,36.0,9.0,6.0,,1.0,,,,1.0,,,,,,,,,
241,,8.0,1.0,,,3.0,5.0,3.0,2,2.0,1.0,2.0,,,20.0,,,9.0,21.0,15.0,,,,,,,1.0,,,,,,,,,
242,2.0,12.0,5.0,1.0,1.0,3.0,12.0,6.0,2,6.0,5.0,4.0,,,38.0,,,5.0,44.0,9.0,,,6.0,,,3.0,1.0,1.0,,,,,,,1.0,
243,5.0,8.0,2.0,,3.0,11.0,14.0,5.0,2,,8.0,2.0,1.0,,25.0,,,5.0,42.0,12.0,5.0,,4.0,,,2.0,1.0,,,,,,,,,
244,16.0,1.0,2.0,,,15.0,20.0,7.0,2,1.0,1.0,4.0,,,15.0,,,,32.0,25.0,13.0,,1.0,,,,1.0,,,,,,,,,
245,23.0,4.0,2.0,,,14.0,9.0,8.0,2,3.0,3.0,3.0,2.0,,20.0,,,2.0,49.0,4.0,16.0,2.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,
246,9.0,16.0,4.0,,2.0,9.0,12.0,5.0,2,1.0,5.0,2.0,1.0,,39.0,,,3.0,36.0,3.0,5.0,,,,,,1.0,,,,,,,,,
247,1.0,8.0,9.0,,2.0,7.0,11.0,3.0,2,4.0,2.0,3.0,,3.0,5.0,,,1.0,36.0,7.0,4.0,,,,3.0,,1.0,,,,,,,,,
248,6.0,5.0,9.0,1.0,1.0,5.0,12.0,10.0,2,3.0,3.0,6.0,,,39.0,1.0,,4.0,39.0,6.0,2.0,,7.0,2.0,,2.0,2.0,1.0,,,,,,,,
249,2.0,4.0,5.0,,,9.0,20.0,5.0,2,6.0,4.0,3.0,,,28.0,1.0,,4.0,45.0,12.0,12.0,,1.0,,,,1.0,,,,,,,,,
250,,2.0,1.0,,2.0,,4.0,14.0,2,2.0,13.0,1.0,,,58.0,,,2.0,36.0,2.0,,,,,,,1.0,1.0,,,,,,,,
251,2.0,5.0,3.0,,2.0,8.0,18.0,7.0,2,,4.0,1.0,,,33.0,,,6.0,46.0,8.0,1.0,,2.0,,,,3.0,,,,,,,,,
252,6.0,7.0,6.0,,4.0,5.0,6.0,6.0,2,1.0,2.0,2.0,,1.0,21.0,,,12.0,28.0,6.0,,,,,,,1.0,,,,,,,,,
253,2.0,,3.0,,1.0,4.0,15.0,7.0,2,8.0,1.0,2.0,,,27.0,,,8.0,28.0,6.0,5.0,6.0,,,,3.0,1.0,,,,,,,,,
254,3.0,,11.0,,4.0,13.0,22.0,4.0,2,2.0,6.0,2.0,,,42.0,,,6.0,51.0,5.0,,,,,,,1.0,,,,,,,,,
255,3.0,8.0,3.0,,1.0,2.0,11.0,7.0,2,6.0,2.0,2.0,,,14.0,,,20.0,47.0,4.0,3.0,,,,,1.0,1.0,,,,,,,,,
256,9.0,13.0,2.0,,2.0,7.0,18.0,7.0,2,1.0,2.0,2.0,,1.0,24.0,4.0,,2.0,40.0,23.0,13.0,,,,1.0,4.0,4.0,,,,,,,,,
257,,,,,,,2.0,3.0,2,,2.0,1.0,,,,,,,23.0,,,,,,,,1.0,,,,,,,,,
258,4.0,4.0,9.0,,1.0,10.0,30.0,12.0,2,,13.0,6.0,,,15.0,,,4.0,26.0,17.0,20.0,,,,4.0,3.0,1.0,,,,1.0,,,,,
259,5.0,8.0,9.0,3.0,5.0,6.0,5.0,5.0,2,5.0,1.0,2.0,,,15.0,,,17.0,38.0,7.0,5.0,1.0,,,,2.0,1.0,,,,1.0,,,,,
260,1.0,6.0,,1.0,3.0,3.0,13.0,4.0,2,2.0,3.0,3.0,,,26.0,,,3.0,51.0,6.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,
261,1.0,2.0,6.0,,1.0,8.0,11.0,6.0,2,5.0,8.0,2.0,,,33.0,,,2.0,35.0,10.0,2.0,,,,,,1.0,,,,,,,,,
262,3.0,10.0,7.0,,2.0,5.0,12.0,5.0,2,,7.0,3.0,,,20.0,,,3.0,38.0,16.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,
263,6.0,17.0,7.0,,2.0,10.0,11.0,12.0,2,2.0,2.0,2.0,1.0,1.0,27.0,,,10.0,40.0,1.0,7.0,,1.0,,,,1.0,,,,,,,,,
264,4.0,14.0,5.0,,6.0,5.0,16.0,5.0,2,3.0,7.0,1.0,1.0,1.0,40.0,,,4.0,40.0,10.0,1.0,,2.0,,,1.0,1.0,,,,2.0,,,,,
265,10.0,9.0,5.0,,2.0,11.0,10.0,4.0,2,5.0,3.0,1.0,,,18.0,,,6.0,49.0,3.0,7.0,,,,1.0,,3.0,,,,,,,,,
266,1.0,9.0,3.0,,1.0,3.0,9.0,11.0,2,1.0,6.0,5.0,,,35.0,,,3.0,37.0,5.0,2.0,1.0,,2.0,,,1.0,,,,,,,,,
267,6.0,,9.0,,4.0,13.0,24.0,5.0,2,5.0,1.0,3.0,1.0,5.0,25.0,,,8.0,35.0,21.0,14.0,2.0,13.0,,,1.0,1.0,,,,,,,,,
268,2.0,,5.0,,1.0,12.0,4.0,7.0,2,2.0,5.0,2.0,1.0,,15.0,1.0,,1.0,34.0,1.0,6.0,,2.0,,,1.0,1.0,,,,,,,,,
269,11.0,4.0,3.0,,2.0,12.0,12.0,3.0,2,,4.0,2.0,1.0,,25.0,2.0,1.0,2.0,30.0,4.0,12.0,,1.0,,,3.0,1.0,,,,,,,,,
270,3.0,1.0,4.0,,4.0,18.0,13.0,10.0,2,2.0,2.0,2.0,,,9.0,,,12.0,48.0,3.0,19.0,,,,1.0,,2.0,2.0,,,,,,,,
271,1.0,1.0,8.0,,3.0,22.0,16.0,10.0,2,1.0,5.0,1.0,,,16.0,,,2.0,25.0,11.0,21.0,,,2.0,,3.0,1.0,,,,,,,,,
272,10.0,1.0,9.0,,2.0,9.0,17.0,10.0,2,1.0,2.0,2.0,,,23.0,,,8.0,37.0,10.0,5.0,,,,1.0,,1.0,,,,,,,,,
273,12.0,4.0,8.0,,,8.0,19.0,4.0,2,3.0,2.0,3.0,,,31.0,,,10.0,33.0,8.0,3.0,,1.0,,,,2.0,,,,1.0,,,,,
274,1.0,,,,1.0,,1.0,4.0,2,,3.0,1.0,1.0,,1.0,,,,18.0,,1.0,,,,,,1.0,,,,,,,,,
275,10.0,2.0,3.0,,1.0,3.0,11.0,6.0,2,4.0,3.0,2.0,1.0,,25.0,,,16.0,42.0,3.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,
276,2.0,8.0,6.0,,6.0,5.0,12.0,6.0,2,4.0,6.0,4.0,,,24.0,,,9.0,35.0,8.0,3.0,,2.0,,1.0,2.0,1.0,,,,,,,,,
277,3.0,13.0,1.0,,3.0,5.0,6.0,7.0,2,2.0,5.0,5.0,1.0,,10.0,1.0,,1.0,42.0,15.0,2.0,,4.0,,,,1.0,,,,,,,,,
278,15.0,14.0,5.0,,3.0,7.0,12.0,12.0,2,6.0,4.0,2.0,3.0,1.0,32.0,,,9.0,35.0,6.0,11.0,,,,1.0,,2.0,,,1.0,2.0,,,,,
279,6.0,7.0,3.0,,,5.0,19.0,7.0,2,1.0,4.0,4.0,,,32.0,,,3.0,34.0,6.0,5.0,,1.0,,,2.0,2.0,,,,,,,,,
280,,,,,,,2.0,3.0,2,,1.0,2.0,,,,,,,22.0,1.0,,,,,1.0,,1.0,,,,,,,,,
281,9.0,1.0,15.0,,5.0,25.0,21.0,15.0,2,5.0,4.0,1.0,,,17.0,1.0,,14.0,48.0,13.0,28.0,2.0,,1.0,2.0,,1.0,,,1.0,,,,,,
282,1.0,13.0,3.0,,,5.0,14.0,13.0,2,4.0,7.0,1.0,1.0,,35.0,,,9.0,35.0,8.0,9.0,,,,,2.0,1.0,,,,,,,,,
283,1.0,11.0,,,,11.0,7.0,5.0,2,2.0,1.0,3.0,,,16.0,,,6.0,33.0,18.0,1.0,,2.0,,,,2.0,,,,,,,,,
284,1.0,2.0,6.0,,1.0,6.0,11.0,6.0,2,5.0,8.0,3.0,,,33.0,,,2.0,38.0,9.0,,,,,,,1.0,,,,,,,,,
