,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,genre,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,WDT,WP,CC,JJR,FW,PDT,NNPS,JJS,$,WP$,EX,RBS,POS
31,8.0,,14.0,,3.0,22.0,39.0,7.0,0,3.0,6.0,18.0,1.0,1.0,135.0,1.0,1.0,6.0,88.0,23.0,10.0,,5.0,1.0,,,,,,,,,,,,
32,24.0,1.0,60.0,,6.0,50.0,88.0,33.0,0,8.0,4.0,5.0,4.0,3.0,211.0,1.0,1.0,20.0,132.0,31.0,84.0,1.0,2.0,,,24.0,4.0,2.0,,,,,,,,
33,7.0,1.0,46.0,,2.0,14.0,14.0,6.0,0,2.0,9.0,102.0,,4.0,61.0,1.0,,5.0,99.0,8.0,13.0,,1.0,,,,,,,,,,,,,
34,2.0,4.0,6.0,,,16.0,33.0,5.0,0,2.0,3.0,6.0,,,35.0,4.0,,5.0,60.0,18.0,5.0,2.0,,,,2.0,,,,,,,,,,
35,3.0,2.0,12.0,,1.0,55.0,30.0,6.0,0,4.0,5.0,2.0,,,78.0,1.0,,10.0,60.0,10.0,48.0,1.0,2.0,,,1.0,,2.0,,,1.0,,,,,
36,1.0,,,,1.0,,,4.0,0,,3.0,2.0,1.0,,1.0,1.0,,,20.0,,1.0,,,,,,,,,,,,,,,
37,3.0,2.0,14.0,,3.0,12.0,57.0,8.0,0,4.0,7.0,20.0,,,134.0,2.0,,4.0,73.0,14.0,38.0,,,,,2.0,1.0,,,,,,,,,
38,8.0,10.0,16.0,,2.0,12.0,46.0,15.0,0,2.0,1.0,11.0,,2.0,70.0,1.0,,16.0,69.0,13.0,11.0,,,1.0,,1.0,,,,,,,,,,
39,,,,,1.0,,,3.0,0,,2.0,3.0,,,,1.0,,,24.0,,,,,,,,,,,,,,,,,
40,3.0,1.0,23.0,,33.0,26.0,20.0,10.0,0,3.0,4.0,3.0,,,37.0,2.0,,24.0,74.0,10.0,24.0,,1.0,,2.0,1.0,,,1.0,,,,,,,
41,,,,,,,1.0,3.0,0,,2.0,2.0,,,,1.0,,,25.0,,,,,,,,,,,,,,,,,
42,,,,,,,1.0,4.0,0,,1.0,4.0,,,1.0,1.0,,1.0,23.0,1.0,1.0,,1.0,,,,,,,,,,,,,
43,5.0,,13.0,,1.0,24.0,32.0,10.0,0,4.0,4.0,4.0,2.0,,143.0,1.0,,10.0,98.0,36.0,24.0,2.0,,1.0,,1.0,,,,,,,,,,
44,5.0,3.0,20.0,,4.0,32.0,31.0,8.0,0,4.0,2.0,6.0,,32.0,127.0,1.0,,11.0,92.0,17.0,16.0,2.0,1.0,,,4.0,,,,,,,,,,
45,,,,,,,1.0,4.0,0,,1.0,3.0,,,,1.0,,1.0,21.0,1.0,,,,,,,,,,,1.0,,,,,
46,1.0,,6.0,,,32.0,36.0,5.0,0,2.0,4.0,6.0,,1.0,25.0,1.0,,23.0,89.0,6.0,9.0,,2.0,,,,1.0,,,,,,,,,
47,,,,,,,1.0,4.0,0,,1.0,3.0,,,,1.0,,,23.0,,,,,,,,,,,,,,,,,
48,6.0,,26.0,,3.0,36.0,35.0,15.0,0,10.0,6.0,6.0,2.0,,109.0,1.0,,6.0,115.0,23.0,40.0,,,,,4.0,,1.0,,3.0,,,,,,
49,,,,,1.0,,,3.0,0,,2.0,3.0,,,,1.0,,,24.0,,,,,,,,,,,,,,,,,
50,,,,,,,1.0,3.0,0,,1.0,3.0,,,,1.0,,,24.0,,,,,,,,,,,,,,,,,
51,13.0,20.0,9.0,,2.0,26.0,46.0,22.0,0,1.0,2.0,6.0,1.0,,86.0,1.0,,5.0,74.0,12.0,17.0,1.0,1.0,,2.0,3.0,,1.0,,,1.0,,1.0,,,
52,8.0,12.0,18.0,,9.0,27.0,36.0,11.0,0,2.0,1.0,18.0,2.0,4.0,77.0,2.0,,11.0,142.0,14.0,29.0,,1.0,1.0,,,2.0,,,,1.0,,,,,
53,5.0,7.0,10.0,,4.0,41.0,76.0,12.0,0,,3.0,8.0,1.0,,85.0,1.0,,7.0,70.0,9.0,45.0,2.0,,,1.0,,,,,5.0,,,,,,
54,12.0,17.0,14.0,,3.0,17.0,18.0,20.0,0,3.0,5.0,30.0,,,75.0,7.0,,7.0,75.0,8.0,21.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,
55,1.0,1.0,4.0,,,2.0,8.0,5.0,0,3.0,1.0,3.0,,,10.0,1.0,1.0,1.0,35.0,2.0,5.0,,,1.0,,,,,,,,,,,,
56,6.0,6.0,7.0,,4.0,16.0,42.0,9.0,0,3.0,1.0,28.0,1.0,,62.0,1.0,,9.0,111.0,10.0,22.0,,3.0,,,3.0,,1.0,,,,,,,,
57,,,,,,1.0,1.0,5.0,0,,1.0,3.0,,,,1.0,,,25.0,,1.0,,,,,,,,,,,,,,,
58,,,,,,,1.0,3.0,0,,2.0,2.0,,,,1.0,,,25.0,,,,,,,,,,,,,,,,,
59,9.0,4.0,17.0,,2.0,25.0,34.0,14.0,0,1.0,1.0,8.0,,1.0,116.0,6.0,,13.0,88.0,26.0,31.0,,,,,1.0,1.0,1.0,,,,,,,,
60,11.0,,14.0,,2.0,23.0,48.0,22.0,0,1.0,1.0,6.0,,,47.0,1.0,,5.0,57.0,20.0,19.0,,,,,1.0,,,,,,,,,,
61,,,,,,,1.0,4.0,0,,1.0,3.0,,,,1.0,,,23.0,,,,,,,,,,,,,,,,,
62,4.0,16.0,40.0,,3.0,23.0,71.0,12.0,0,5.0,2.0,37.0,,1.0,109.0,1.0,,18.0,97.0,44.0,27.0,1.0,,,1.0,1.0,,1.0,,,,,,,,
63,10.0,10.0,14.0,,2.0,18.0,25.0,11.0,0,2.0,1.0,13.0,,1.0,73.0,3.0,,13.0,61.0,7.0,14.0,1.0,,1.0,,5.0,,,,,,1.0,,,,
64,,,,,,,1.0,3.0,0,,1.0,3.0,,,,1.0,,,24.0,,,,,,,,,,,,,,,,,
65,8.0,,,,,21.0,4.0,10.0,2,,1.0,2.0,,,,,,26.0,30.0,2.0,24.0,4.0,,2.0,,,1.0,,,,,,,,,
66,,,,,,,2.0,4.0,2,,1.0,2.0,,,,,,,22.0,,,,,,,,1.0,,,,,,,,,
67,7.0,1.0,12.0,,5.0,18.0,14.0,14.0,2,4.0,7.0,2.0,,,44.0,,,20.0,40.0,8.0,19.0,1.0,1.0,,,1.0,1.0,,,,,,,,,
68,7.0,5.0,7.0,,,17.0,23.0,10.0,2,3.0,4.0,5.0,2.0,1.0,32.0,,,14.0,31.0,8.0,18.0,,1.0,1.0,,,1.0,,,,,,,,,
69,11.0,4.0,6.0,,6.0,10.0,13.0,10.0,2,1.0,4.0,2.0,,,37.0,,,10.0,36.0,2.0,2.0,,3.0,,,1.0,1.0,,,,,,,,,
70,11.0,1.0,7.0,,3.0,19.0,23.0,17.0,2,1.0,5.0,23.0,,,41.0,2.0,,14.0,46.0,11.0,14.0,,,,4.0,4.0,1.0,,,2.0,,,,1.0,,
71,9.0,2.0,12.0,,3.0,21.0,21.0,11.0,2,1.0,1.0,4.0,1.0,2.0,23.0,,,15.0,35.0,11.0,28.0,3.0,,,1.0,4.0,1.0,,,,,,,,,
72,18.0,8.0,15.0,,1.0,18.0,41.0,10.0,2,7.0,8.0,2.0,6.0,4.0,57.0,,,15.0,39.0,10.0,18.0,1.0,2.0,,1.0,10.0,1.0,,,2.0,2.0,,,,,
73,15.0,4.0,8.0,,1.0,13.0,17.0,6.0,2,6.0,10.0,3.0,5.0,3.0,59.0,3.0,,11.0,55.0,6.0,11.0,2.0,,,,5.0,4.0,,,,,,,,,
74,5.0,12.0,12.0,,1.0,5.0,27.0,12.0,2,2.0,6.0,1.0,1.0,,47.0,,,13.0,37.0,14.0,10.0,,2.0,1.0,,1.0,1.0,,,,,,,,,
75,,,,,,,2.0,4.0,2,,1.0,2.0,,,,,,1.0,19.0,1.0,,,,,,,1.0,,,,1.0,,,,,
76,7.0,13.0,11.0,,9.0,21.0,22.0,9.0,2,7.0,6.0,8.0,1.0,1.0,65.0,1.0,,16.0,39.0,13.0,13.0,1.0,7.0,,1.0,1.0,3.0,,,1.0,,,,,,
77,8.0,7.0,1.0,,3.0,17.0,13.0,17.0,2,4.0,4.0,5.0,2.0,,34.0,,,11.0,35.0,7.0,18.0,,2.0,,,7.0,5.0,,,,,,,4.0,,
78,17.0,7.0,13.0,,1.0,15.0,34.0,6.0,2,9.0,1.0,4.0,1.0,,78.0,,,13.0,62.0,11.0,11.0,1.0,15.0,,1.0,1.0,1.0,,,,,,,,,
79,12.0,5.0,8.0,,1.0,14.0,26.0,6.0,2,7.0,3.0,3.0,4.0,1.0,38.0,1.0,,9.0,39.0,16.0,13.0,,4.0,,3.0,1.0,1.0,,,1.0,,,,,,
80,3.0,2.0,4.0,,3.0,11.0,11.0,12.0,2,2.0,10.0,6.0,,,33.0,,,3.0,31.0,10.0,6.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,
81,5.0,18.0,6.0,2.0,9.0,28.0,39.0,15.0,2,,5.0,6.0,,,69.0,1.0,,26.0,26.0,18.0,12.0,,3.0,,,,2.0,,,1.0,,,,,,
82,7.0,8.0,12.0,1.0,4.0,17.0,36.0,18.0,2,7.0,7.0,5.0,1.0,1.0,87.0,3.0,,12.0,54.0,10.0,18.0,,6.0,,1.0,11.0,2.0,,1.0,,1.0,,,,,
83,2.0,8.0,6.0,,,11.0,17.0,5.0,2,3.0,1.0,3.0,,,27.0,,,12.0,24.0,7.0,13.0,,1.0,,,,1.0,,,,,,,,,
84,15.0,8.0,11.0,,3.0,13.0,15.0,9.0,2,6.0,3.0,4.0,7.0,1.0,52.0,2.0,,12.0,52.0,7.0,15.0,4.0,2.0,2.0,,4.0,4.0,,,,,,,,,
85,,,,,,,2.0,4.0,2,,1.0,2.0,,,,,,,21.0,,,,,,,,1.0,,,,,,,,,
