,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,CC,WP,JJR,NNPS,JJS,$,FW,PDT,WDT,WP$,RBS,POS,EX
0,10,1,7,,1,15,10,11,3,8,7,2,2,35,3,,8,109,4,20,1,,1,1,,2,,,,,,,,,
0,8,1,11,,3,18,33,8,3,3,7,,3,50,2,,17,75,9,14,1,,3,,,,,,,,1,,,,
0,47,,6,4,5,19,84,14,4,5,11,,1,233,36,,14,52,8,11,3,2,2,,,,,,,,,,1,,
0,21,,13,,24,33,37,7,7,3,14,,,84,3,,31,144,11,6,,,7,,,,1,,,,,,,,
0,28,20,25,2,4,33,54,19,8,2,16,10,,150,4,,28,67,33,31,,3,3,1,2,,1,,1,,,,,,
0,47,,7,4,4,18,83,14,4,3,12,,1,234,36,,16,51,9,12,3,3,2,,,,,,,,1,,1,,
0,6,11,21,1,4,25,39,9,,5,7,,,70,2,,3,59,13,14,,,1,1,,,,,,,,,,,
0,26,6,6,1,3,30,32,12,6,4,8,4,3,78,6,,26,91,10,29,1,1,11,3,3,,,,1,,,,,,
0,24,1,34,,7,60,63,25,9,11,15,6,5,130,5,1,27,113,42,59,1,9,31,,3,,3,,3,,1,,1,,
0,2,2,9,,,6,10,8,3,4,7,,1,22,2,,2,97,5,8,,1,2,4,,,,,,,,,,,
0,7,,3,,2,18,18,13,4,4,14,,,33,2,,9,64,14,7,,1,4,1,1,,,,,,,,,,
0,12,,18,,4,22,39,13,12,4,11,,,93,3,,23,93,34,11,,2,9,,,,,,2,,,,,1,
0,10,1,16,1,8,20,22,14,3,3,11,,2,71,3,1,13,91,14,17,,5,13,,1,,1,,1,,1,,,,
0,15,,8,,1,27,33,17,5,8,16,,,72,2,,16,104,9,22,,7,6,,,,,,,,,,,,
1,13,10,19,,6,26,44,17,2,3,1,5,3,35,1,,23,32,19,26,1,1,14,1,,,1,,,,,,,,
1,3,2,24,,1,23,25,9,1,,2,,2,53,1,,13,58,4,21,,15,12,1,,,,,,,,,,,
1,9,2,3,,4,24,10,3,2,5,4,2,,11,1,,14,35,4,25,1,,10,2,,,,,,,,,,,
1,18,7,31,,12,11,37,28,6,3,7,,,22,20,,12,53,26,12,,3,6,1,1,,,,,,,,,,
1,10,9,5,,2,13,20,5,3,,2,2,,31,2,,9,47,15,13,,,10,1,,,,,,,1,,,,
1,15,7,15,,1,15,11,9,4,1,10,,1,17,2,,8,51,5,26,1,1,2,1,1,,,,,,1,,,,
1,14,4,10,,4,13,17,8,8,8,6,1,1,52,6,,19,46,2,17,,4,10,1,,,,,,,,,,,
1,40,4,18,,2,15,16,12,9,5,,1,2,60,3,1,6,36,7,46,1,2,12,1,4,,,,,,,,,,1
1,15,1,18,,5,14,58,4,3,1,1,1,4,33,1,,10,43,44,11,,,3,1,,,1,,,,,,,,
1,6,14,11,,6,27,25,14,7,4,1,1,1,40,2,,20,34,21,25,,,10,1,1,,,,,,1,,,,
1,1,6,28,,,16,8,22,,,1,,1,40,3,,4,42,8,18,,,1,1,,,2,,,,,,,,
1,2,1,5,,1,5,3,5,1,,2,,2,9,1,,2,24,4,8,1,1,1,1,,,,,,,1,,,,
1,51,1,7,,2,27,15,16,4,1,,5,1,35,1,,18,36,7,16,1,,7,1,,,,,,,,,,,1
1,12,15,7,,2,22,22,4,2,,1,,,47,4,,21,35,6,20,,,8,1,,,,,1,,,,,,
1,31,5,4,,,27,32,5,3,1,1,4,,26,3,8,6,62,16,25,,1,4,1,,,3,,,,,,,,
1,6,8,5,,2,10,22,9,5,7,1,4,,60,1,,25,39,16,4,4,3,1,1,,,,,,,,,,,1
1,10,,6,,4,39,28,16,,3,3,1,,34,1,,8,34,14,31,4,2,1,1,,,1,,,,,,,,
1,3,14,12,,2,10,19,8,2,1,3,,2,49,1,,12,37,3,14,3,1,8,2,,,,,,,,,,,
1,13,9,2,,,25,17,9,3,4,,,1,39,6,,19,42,6,21,,1,1,1,,,,,,,,,,,
1,7,25,17,,1,18,30,8,9,2,1,,,34,2,,10,44,12,34,,4,12,1,,,,,,,,,,,
1,6,4,9,,1,6,9,4,3,1,4,,,43,4,,7,44,,12,3,6,4,3,,,,,,,,,,,
1,7,35,10,,6,12,35,7,3,5,1,,2,70,4,,9,44,11,10,,2,3,1,,,,,,,3,,,,
1,3,4,16,,8,21,31,8,3,3,,2,,60,1,4,15,40,15,29,,,7,1,,,,,,,,,,,
1,9,6,2,,3,17,21,7,20,4,1,,4,45,2,,22,44,14,7,,3,4,1,,,3,,,,,,,,
1,7,10,10,,2,19,23,5,2,,2,,,36,2,,11,48,6,22,,2,4,2,2,,,,,,,,,,
1,4,3,2,,,29,15,9,,1,2,,1,8,1,,5,38,7,36,1,3,2,8,,1,,,,,,,,,
1,24,5,12,,5,12,20,5,4,2,7,,,36,1,,7,41,14,11,,1,3,1,,,,,,,,,,,
1,12,9,24,,1,10,33,2,3,,5,,,67,3,,7,58,17,22,,,2,3,4,,1,,,,,,,,1
1,21,4,14,,4,53,14,6,3,4,,1,,44,14,,18,45,14,26,1,1,3,1,,,1,,,,,,,,
1,4,20,9,,5,36,29,16,19,5,2,1,1,21,1,,19,53,14,28,,4,4,1,,,,,,,1,,,,
1,9,11,14,,9,15,24,7,3,16,1,1,,54,4,,5,37,6,18,,1,5,1,,,,,,,,,,,
1,11,4,14,,,12,14,6,,3,2,,2,23,7,,11,114,5,18,,1,2,2,,,1,,,,,,,,
1,11,10,8,,,16,36,9,5,5,1,4,2,58,1,,19,62,3,12,,,1,1,,1,,,,,,,,,
1,7,4,13,,,30,16,5,14,3,1,3,2,31,4,,18,37,7,49,1,,2,1,,,,,,,,,,,
1,18,10,7,,2,21,26,2,8,2,8,,2,41,22,,3,57,14,22,,,7,1,,,1,,,,1,,,,
1,1,8,6,3,5,13,9,9,,1,,,,28,1,,25,56,10,8,,,3,1,,,,,,,,,,,
1,11,13,13,,3,10,30,5,1,33,2,,,60,1,,9,41,13,28,,1,8,1,1,1,1,,,,,,,,
1,16,,23,,1,12,75,3,1,3,1,6,5,48,1,4,14,57,43,18,,,5,1,,,1,,,,,,,,
1,9,2,8,,7,7,12,4,2,,7,,,27,3,,13,32,9,5,,7,7,1,,,3,,,,,,,,
1,7,2,12,,5,32,21,12,1,12,5,3,1,34,2,,8,57,11,33,,4,5,2,,,,,,,,,,,
1,12,,18,,,25,10,7,4,9,4,,1,26,2,,17,43,37,23,,,4,1,,,,,1,,,,1,,
1,15,7,14,,2,18,14,7,4,1,11,,1,17,1,,7,50,4,27,,1,2,2,2,,,,,,,,,,
1,5,13,3,,,12,20,5,25,20,1,,,64,1,,6,65,5,6,,1,5,2,1,,,,,,,,,,2
1,3,,4,,1,5,5,5,,2,1,1,,9,1,,3,16,1,9,1,1,2,1,,,2,,,,,,,,
1,1,,,,1,1,1,1,,1,1,,,,1,,,20,,2,,,1,1,,,,,,,,,,,
1,2,6,9,,1,20,27,10,4,,1,,1,28,1,,17,120,3,20,,1,11,1,,,,,,,,,,,
1,28,12,11,,1,15,26,21,1,3,5,5,,75,7,,33,43,7,20,4,6,5,1,4,,4,,,,,,,,
1,26,14,4,,,21,13,9,5,6,4,3,2,46,1,,10,42,24,15,13,5,3,1,2,,,,,,1,,,,
1,5,4,1,,11,18,18,14,1,1,2,,,16,1,,5,41,12,13,,,1,1,,,,,,,,,,,
